Class,Subclass2,Subclass3,Subclass4,Subclass5,Subclass6,Subclass7,Subclass8,nuclex_nid,parent_OBO,obo_id,obo_axiom,radlex_purl,radlex_axiom,playbook_rpid,umls_cui,umls_axiom,nci_thesaurus_code,nci_thesaurus_axiom,snomedct_code,snomedct_axiom,ibsi_code,ibsi_axiom,dicom_code,Other,Other_axiom,Measurement?,Assignment ID,Approver/Endorser ID,Comments,Synonyms,Definitions ,ro:has_part,ro:is_part_of,ro:uses,ro:is_made_of,ro:treats,ro:has_input,ro:has_output,ro:is_about,nuclex:is_theranostic_pair,nuclex:binds_to,nuclex:is_radiolabeled_analog_of,,,,,,,
,,,,,bremsstrahlung scan,,,nuclex:000059,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"bremsstrahlung SPECT, BRS SPECT, BRS scan","A nuclear medicine imaging technique that detects the secondary ""braking radiation"" (photons) produced when high-energy beta particles (emitted by a therapeutic radiopharmaceutical) interact with tissue",,,,,,,,,,,,,,,,,,
,,,,,,post radioembolization bremsstrahlung scan,,nuclex:000060,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"Y-90 scan, 90Y scan, Y-90 microsphere scan, 90Y microsphere scan, Y-90 radioembolization scan, 90Y radioembolization scan, ",A nuclear medicine imaging procedure for therapy evaluation after Yttrium-90 liver radioembolization.,,,,,,,,,,,,,,,,,,
,,,,,,radiopharmaceutical therapy bremsstrahlung scan,,nuclex:000061,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"RPT bremsstrahlung scan, Y-90 bremsstrahlung scan",A bremsstrahlung scan performed after the administration of a pure beta-emitting radiopharmaceutical to map the biodistribution of the therapy dose within the body.,,,,,,,,,,,,,,,,,,
,,,,bone scan,,,,nuclex:000062,,,,,,"RPID5083, RPID6306",,,"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17646",,http://purl.bioontology.org/ontology/SNOMEDCT/41747008,,,,,,,,,1001;1002;1004,,"bone scintigraphy, MDP scan, MDP bone scan, MDP scintigraphy, HDP bone scan, HDP scan, HDP scintigraphy",A nuclear medicine imaging procedure in which a radiotracer is injected intravenously to detect and visualize areas of altered bone metabolism throughout the skeleton.,,,,,,,,,,,,,,,,,,
,,,,,positron emission tomography bone scan,,,nuclex:000063,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"PET bone scan, NaF PET scan, sodium fluoride PET scan",A bone scan acquired via positron emission tomography.,,,,,,,,,,,,,,,,,,
,,,,,single-photon emission computed tomography bone scan,,,nuclex:000064,,,,,,RPID5249,,,,,,,,,,,,,,1001;1002;1004,,"SPECT bone scan, bone SPECT, bone SPECT scan",A bone scan acquired via single-photon emission computed tomography.,,,,,,,,,,,,,,,,,,
,,,,,planar scintigraphy bone scan,,,nuclex:000065,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"planar bone scan, bone scintigraphy",A bone scan acquired via planar scintigraphy.,,,,,,,,,,,,,,,,,,
,,,,,3-phase bone scan,,,nuclex:000066,,,,,,RPID6307,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/241405008,,,,,,,,,1001;1002;1004,,"triphasic bone scintigraphy, triphasic bone scan, 3-phase bone scintigraphy, three-phase bone scan",A nuclear medicine study that captures images at three distinct time points to differentiate between soft tissue infection and bone infection or other bone pathology.,,,,,,,,,,,,,,,,,,
,,,,radioactive iodine scan,,,,nuclex:000067,,,,,,"RPID5212, RPID6334",,,,,,,,,,,,,,1001;1002;1004,,"thyroid cancer scan, thyroid scan, thyroid metastatic cancer survey, thyroid scintigraphy, radioiodine scan",A nuclear medicine scan to detect or assess thyroid cancer.,,,,,,,,,,,,,,,,,,
,,,,,pre-ablation whole-body radioactive iodine scan,,,nuclex:000068,,,,,,RPID6179,,,,,,,,,,,,,,1001;1002;1004,,"pre-ablation radioiodine scan, pre-ablation radioactive iodine scan","A diagnostic scan performed using a low activity of radioactive iodine before therapeutic ablation, used to assess the amount of thyroid remnant and detect distant metastases to calculate the required therapy dose.",,,,,,,,,,,,,,,,,,
,,,,,post-ablation whole-body radioactive iodine scan,,,nuclex:000069,,,,,,RPID6336,,,,,,,,,,,,,,1001;1002;1004,,"post-therapy radioactive iodine scan, post-ablation radioactive iodine scan","A scan performed after the administration of a high therapeutic dose of I-131, utilizing the therapy dose itself to image uptake.",,,,,,,,,,,,,,,,,,
,,,,,surveillance whole-body radioactive iodine scan,,,nuclex:000070,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"follow-up radioactive iodine scan, follow-up radioiodine scan",A radioactive iodine scan performed months or years after initial treatment to assess cancer recurrence. ,,,,,,,,,,,,,,,,,,
,,,,,non-oncologic radioactive iodine scan,,,nuclex:000071,,,,,,RPID5212,,,,,,,,,,,,,,1001;1002;1004,,"thyroid scan, diagnostics thyroid scan, non-oncologic thyroid diagnostic scan",A radioactive iodine scan for evaluating non-oncologic pathologies.,,,,,,,,,,,,,,,,,,
,,,,,,radioactive iodine scan for hypothyroidism ,,nuclex:000072,,,,,,RPID5212,,,,,,,,,,,,,,1001;1002;1004,,"hypothyroidism scan, hypothyroidism RAI scan, RAI scan for hypothyroidism",A radioactive iodine scan performed to investigate the etiology of an underactive thyroid gland,,,,,,,,,,,,,,,,,,
,,,,,,radioactive iodine scan for hyperthyroidism ,,nuclex:000073,,,,,,RPID5212,,,,,,,,,,,,,,1001;1002;1004,,"hyperthyroidism scan, hyperthyroidism RAI scan, RAI scan for hyperthyroidism ",A radioactive iodine scan performed to investigate the cause of an overactive thyroid gland.,,,,,,,,,,,,,,,,,,
,,,,,,radioactive iodine scan for thyroid nodule,,nuclex:000074,,,,,,RPID5212,,,,,,,,,,,,,,1001;1002;1004,,"thyroid nodule scan, thyroid nodule RAI scan, RAI scan for thyroid nodule",A radioactive iodine scan performed to assess the functional status of a palpable or ultrasound-identified thyroid nodule.,,,,,,,,,,,,,,,,,,
,,,,,,,radioactive iodine scan for hot nodule,nuclex:000075,,,,,,RPID5212,,,,,,,,,,,,,,1001;1002;1004,,"thyroid scan for autonomous nodule, thyroid scan for functional nodule, RAI scan for hot nodule, hot nodule RAI scan",A radioactive iodine scan for a thyroid nodule demonstrating a localized area of autonomously functioning tissue that exhibits greater radiotracer uptake than the surrounding normal gland.,,,,,,,,,,,,,,,,,,
,,,,,,,radioactive iodine scan for cold nodule,nuclex:000076,,,,,,RPID5212,,,,,,,,,,,,,,1001;1002;1004,,"thryoid scan for non-functional nodule, RAI scan for cold nodule, cold nodule RAI scan",A radioactive iodine scan for a thyroid nodule demonstrating a localized area of tissue with decreased or absent radiotracer uptake compared to the surrounding normal gland.,,,,,,,,,,,,,,,,,,
,,,,,,,radioactive iodine scan for multinodular goiter,nuclex:000077,,,,,,RPID5212,,,,,,,,,,,,,,1001;1002;1004,,"Goiter scan, RAI Goiter scan",A radioactive iodine scan performed to assess a mutlinodular goiter. ,,,,,,,,,,,,,,,,,,
